,Date,Value,USD (PM)
495,1/19/18,11174.82,1334.95
496,1/20/18,12950.79333,1334.95
497,1/21/18,11505.228000000001,1334.95
498,1/22/18,11513.42,1332.6
499,1/23/18,11223.063999999998,1333.4
500,1/24/18,11282.25833,1353.7
501,1/25/18,11392.03,1354.95
502,1/26/18,10969.815,1353.15
503,1/27/18,11524.776670000001,1353.15
504,1/28/18,11431.37,1353.15
505,1/29/18,11212.655,1343.85
506,1/30/18,10184.061670000001,1344.9
507,1/31/18,10082.52,1345.05
508,2/1/18,9083.258333,1341.35
509,2/2/18,8901.901667,1331.15
510,2/3/18,8852.73,1331.15
511,2/4/18,8400.648333,1331.15
512,2/5/18,6838.816667,1333.6
513,2/6/18,6925.46,1331.4
514,2/7/18,8099.958333,1324.65
515,2/8/18,8240.536667,1315.45
516,2/9/18,8245.08,1314.1
517,2/10/18,8319.876565999999,1314.1
518,2/11/18,8343.455,1314.1
519,2/12/18,8068.02,1322.3
520,2/13/18,8597.7675,1325.35
521,2/14/18,9334.633333,1336.25
522,2/15/18,9471.64,1352.45
523,2/16/18,10127.16167,1352.1
524,2/17/18,10841.99167,1352.1
525,2/18/18,11085.83,1352.1
526,2/19/18,11110.965,1346.6
527,2/20/18,11390.39167,1339.85
528,2/21/18,11245.98,1330.5
529,2/22/18,9931.071667,1328.35
530,2/23/18,10162.11667,1327.95
531,2/24/18,10171.3,1327.95
532,2/25/18,9696.593333,1327.95
533,2/26/18,10348.60333,1333.5
534,2/27/18,10319.46,1325.75
535,2/28/18,10370.165,1317.85
536,3/1/18,11009.38167,1307.75
537,3/2/18,10931.12,1322.3
538,3/3/18,11326.94833,1322.3
539,3/4/18,11430.18167,1322.3
540,3/5/18,11516.83,1320.4
541,3/6/18,10763.19833,1331.4
542,3/7/18,10118.058,1329.4
543,3/8/18,9920.46,1321.0
544,3/9/18,9089.278333,1320.6
545,3/10/18,8746.002,1320.6
546,3/11/18,8777.37,1320.6
547,3/12/18,9182.843333,1319.15
548,3/13/18,9154.7,1322.75
549,3/14/18,9153.54,1323.55
550,3/15/18,8358.121667,1318.75
551,3/16/18,8530.402,1310.1
552,3/17/18,8297.89,1310.1
553,3/18/18,8171.415,1310.1
554,3/19/18,8412.033333,1312.4
555,3/20/18,8605.64,1311.0
556,3/21/18,8947.753333,1321.35
557,3/22/18,8690.408333,1329.15
558,3/23/18,8725.37,1346.6
559,3/24/18,8662.378333,1346.6
560,3/25/18,8617.296667,1346.6
561,3/26/18,8457.96,1352.4
562,3/27/18,7876.195,1341.45
563,3/28/18,7960.38,1332.45
564,3/29/18,7950.61,1323.85
565,3/30/18,6882.531667,1323.85
566,3/31/18,6935.48,1323.85
567,4/1/18,6937.56,1323.85
568,4/2/18,7035.848333,1323.85
569,4/3/18,7410.435,1333.45
570,4/4/18,7426.48,1337.3
571,4/5/18,6826.51,1327.7
572,4/6/18,6603.876667,1331.2
573,4/7/18,6634.68,1331.2
574,4/8/18,7017.656667,1331.2
575,4/9/18,6699.273333,1331.95
576,4/10/18,6784.41,1338.95
577,4/11/18,6926.266667,1350.75
578,4/12/18,7847.845,1341.35
579,4/13/18,7941.46,1343.7
580,4/14/18,8036.511051,1343.7
581,4/15/18,8340.748333,1343.7
582,4/16/18,8368.1,1349.35
583,4/17/18,7895.416926000001,1342.1
584,4/18/18,8164.937426,1351.45
585,4/19/18,8175.96,1348.6
586,4/20/18,8852.718333,1336.75
587,4/21/18,8807.205,1336.75
588,4/22/18,8930.6,1336.75
589,4/23/18,8933.861667000001,1324.3
590,4/24/18,9555.542,1328.85
591,4/25/18,9658.11,1321.65
592,4/26/18,9258.398333,1320.7
593,4/27/18,9010.32,1321.5
594,4/28/18,8928.55,1321.5
595,4/29/18,9334.281667,1321.5
596,4/30/18,9259.57,1313.2
597,5/1/18,9239.55,1307.1
598,5/2/18,9221.426,1304.2
599,5/3/18,9639.268333,1315.05
600,5/4/18,9753.35,1309.4
601,5/5/18,9803.306667,1309.4
602,5/6/18,9630.136277,1309.4
603,5/7/18,9631.44,1309.4
604,5/8/18,9228.608333,1306.6
605,5/9/18,9322.041667,1313.85
606,5/10/18,9310.37,1318.8
607,5/11/18,8468.788,1324.35
608,5/12/18,8484.346667,1324.35
609,5/13/18,8463.52,1324.35
610,5/14/18,8652.038333,1319.85
611,5/15/18,8511.458,1295.0
612,5/16/18,8471.06,1291.25
613,5/17/18,8106.118332999999,1289.5
614,5/18/18,8240.055,1288.3
615,5/19/18,8239.08,1288.3
616,5/20/18,8507.406667,1288.3
617,5/21/18,8385.556187,1288.35
618,5/22/18,8396.63,1293.05
619,5/23/18,7555.74,1289.0
620,5/24/18,7566.193333,1304.85
621,5/25/18,7576.78,1303.5
622,5/26/18,7342.908332999999,1303.5
623,5/27/18,7361.831667,1303.5
624,5/28/18,7344.56,1303.5
625,5/29/18,7459.876667,1295.5
626,5/30/18,7385.395,1300.7
627,5/31/18,7386.72,1305.35
628,6/1/18,7535.146667,1294.6
629,6/2/18,7645.146667,1294.6
630,6/3/18,7637.14,1294.6
631,6/4/18,7500.273333,1295.45
632,6/5/18,7615.7221420000005,1292.05
633,6/6/18,7619.43,1300.1
634,6/7/18,7676.271667,1297.25
635,6/8/18,7620.153333,1298.25
636,6/9/18,7615.54,1298.25
637,6/10/18,6776.888333,1298.25
638,6/11/18,6875.678333,1299.6
639,6/12/18,6879.31,1298.65
640,6/13/18,6315.7,1296.15
641,6/14/18,6647.013333,1302.75
642,6/15/18,6637.41,1285.25
643,6/16/18,6509.426667,1285.25
644,6/17/18,6464.411667,1285.25
645,6/18/18,6445.79,1281.55
646,6/19/18,6737.0,1276.15
647,6/20/18,6714.718333,1274.2
648,6/21/18,6760.83,1266.15
649,6/22/18,6332.573333,1269.15
650,6/23/18,6141.605833,1269.15
651,6/24/18,6170.46,1269.15
652,6/25/18,6211.4475,1268.7
653,6/26/18,6218.595,1260.3
654,6/27/18,6097.46,1254.6
655,6/28/18,6107.896154,1251.55
656,6/29/18,5908.7025,1250.45
657,6/30/18,6223.28,1250.45
658,7/1/18,6374.754167,1250.45
659,7/2/18,6466.069167000001,1247.8
660,7/3/18,6626.44,1251.75
661,7/4/18,6593.289167,1255.65
662,7/5/18,6603.376667,1255.5
663,7/6/18,6555.51,1255.35
664,7/7/18,6594.281667,1255.35
665,7/8/18,6753.559167,1255.35
666,7/9/18,6724.04,1262.05
667,7/10/18,6510.791667,1254.0
668,7/11/18,6377.363333,1251.4
669,7/12/18,6403.18,1245.9
670,7/13/18,6244.3575,1241.7
671,7/14/18,6241.0,1241.7
672,7/15/18,6248.84,1241.7
673,7/16/18,6514.3908329999995,1241.1
674,7/17/18,6869.910833,1232.8
675,7/18/18,7321.62,1224.5
676,7/19/18,7396.401667,1217.55
677,7/20/18,7428.045,1228.75
678,7/21/18,7334.99,1228.75
679,7/22/18,7451.289167,1228.75
680,7/23/18,7689.884167,1224.95
681,7/24/18,7715.1,1228.35
682,7/25/18,8251.165,1231.5
683,7/26/18,8187.324167,1228.25
684,7/27/18,7939.81,1223.95
685,7/28/18,8182.251667,1223.95
686,7/29/18,8206.341667,1223.95
687,7/30/18,8220.91,1223.8
688,7/31/18,7916.800833,1220.95
689,8/1/18,7570.869167,1219.0
690,8/2/18,7607.7,1215.45
691,8/3/18,7394.499167,1216.3
692,8/4/18,7247.769167,1216.3
693,8/5/18,7011.28,1216.3
694,8/6/18,6988.079167,1209.65
695,8/7/18,6993.513333,1212.35
696,8/8/18,6718.23,1209.55
697,8/9/18,6396.7725,1214.35
698,8/10/18,6396.494667,1214.4
699,8/11/18,6138.96,1214.4
700,8/12/18,6311.131667000001,1214.4
701,8/13/18,6347.07,1200.35
702,8/14/18,6252.13,1197.0
703,8/15/18,6362.676923,1182.0
704,8/16/18,6342.629231,1180.4
705,8/17/18,6312.75,1178.4
706,8/18/18,6436.720832999999,1178.4
707,8/19/18,6404.063333,1178.4
708,8/20/18,6486.58,1184.35
709,8/21/18,6401.2461539999995,1190.95
710,8/22/18,6575.229167,1196.65
711,8/23/18,6354.57,1192.35
712,8/24/18,6543.645714,1197.7
713,8/25/18,6719.429231,1197.7
714,8/26/18,6738.27,1197.7
715,8/27/18,6719.266154000001,1197.7
716,8/28/18,7000.04,1212.25
717,8/29/18,7078.19,1204.2
718,8/30/18,6932.6625,1197.3
719,8/31/18,6981.946154,1202.45
720,9/1/18,7018.78,1202.45
721,9/2/18,7247.935385,1202.45
722,9/3/18,7260.9492310000005,1200.05
723,9/4/18,7265.08,1190.85
724,9/5/18,7113.069231,1196.7
725,9/6/18,6433.271667,1205.15
726,9/7/18,6501.19,1198.9
727,9/8/18,6366.1075,1198.9
728,9/9/18,6286.425833,1198.9
729,9/10/18,6240.98,1196.6
730,9/11/18,6296.320833,1189.85
731,9/12/18,6273.1375,1195.6
732,9/13/18,6326.04,1209.8
733,9/14/18,6499.0625,1201.95
734,9/15/18,6518.655,1201.95
735,9/16/18,6522.39,1201.95
736,9/17/18,6400.6008329999995,1201.9
737,9/18/18,6296.631667000001,1200.2
738,9/19/18,6342.39,1203.3
739,9/20/18,6418.562667,1208.35
740,9/21/18,6669.990833,1198.7
741,9/22/18,6756.12,1198.7
742,9/23/18,6710.445,1198.7
743,9/24/18,6639.304167,1202.75
744,9/25/18,6583.45,1201.9
745,9/26/18,6468.631667000001,1194.25
746,9/27/18,6535.476667,1185.4
747,9/28/18,6686.08,1187.25
748,9/29/18,6550.474167,1187.25
749,9/30/18,6593.135,1187.25
750,10/1/18,6611.02,1189.35
751,10/2/18,6562.641667,1204.7
752,10/3/18,6470.4025,1201.2
753,10/4/18,6483.73,1203.45
754,10/5/18,6568.549167,1203.8
